traceID,grad,fls1,fls2,fls3,LogPosterior,AcceptRate,pout
1,0.1,0.1,0.5,0.5,0.0,1.0,-208.722122613
2,0.1,0.1,0.5,0.5,0.0,1.0,-208.722122613
3,0.1,0.1,0.5,0.5,-32.8639267143,0.5,-208.722122613
4,0.1,0.1,0.5,0.5,-4.42819257527,0.333333333333,-208.722122613
5,0.172655509695,0.122071126909,0.493399015206,0.536768292038,-26.8410141144,0.25,-198.939448642
6,0.172655509695,0.122071126909,0.493399015206,0.536768292038,0.0,0.4,-198.939448642
7,0.172655509695,0.122071126909,0.493399015206,0.536768292038,-5.67975594072,0.333333333333,-198.939448642
8,0.172655509695,0.122071126909,0.493399015206,0.536768292038,-73.1956218502,0.285714285714,-198.939448642
9,0.172655509695,0.122071126909,0.493399015206,0.536768292038,-58.9417467278,0.25,-198.939448642
10,0.172655509695,0.122071126909,0.493399015206,0.536768292038,-16.8123313439,0.222222222222,-198.939448642
11,0.2,0.110263279197,0.512566870421,0.742680233629,-1.82494725091,0.2,-184.310169753
12,0.2,0.110263279197,0.512566870421,0.742680233629,0.0,0.272727272727,-184.310169753
13,0.2,0.110263279197,0.512566870421,0.742680233629,-26.9083379965,0.25,-184.310169753
14,0.2,0.110263279197,0.512566870421,0.742680233629,-6.66361374543,0.230769230769,-184.310169753
15,0.2,0.110263279197,0.512566870421,0.742680233629,-39.4090926381,0.214285714286,-184.310169753
16,0.2,0.110263279197,0.512566870421,0.742680233629,-64.2474372629,0.2,-184.310169753
17,0.2,0.110263279197,0.512566870421,0.742680233629,-79.4724126919,0.1875,-184.310169753
18,0.2,0.110263279197,0.512566870421,0.742680233629,-29.9503031489,0.176470588235,-184.310169753
19,0.2,0.110263279197,0.512566870421,0.742680233629,-77.4512219361,0.166666666667,-184.310169753
20,0.2,0.110263279197,0.512566870421,0.742680233629,-67.7195209388,0.157894736842,-184.310169753
21,0.2,0.110263279197,0.512566870421,0.742680233629,-61.5819315196,0.15,-184.310169753
22,0.2,0.110263279197,0.512566870421,0.742680233629,-54.4980202953,0.142857142857,-184.310169753
23,0.2,0.110263279197,0.512566870421,0.742680233629,-43.4034094762,0.136363636364,-184.310169753
24,0.2,0.110263279197,0.512566870421,0.742680233629,-38.4214987705,0.130434782609,-184.310169753
25,0.2,0.110263279197,0.512566870421,0.742680233629,-50.3264794989,0.125,-184.310169753
26,0.2,0.110263279197,0.512566870421,0.742680233629,-49.0160231126,0.12,-184.310169753
27,0.2,0.110263279197,0.512566870421,0.742680233629,-44.2553738678,0.115384615385,-184.310169753
28,0.2,0.110263279197,0.512566870421,0.742680233629,-78.0258928965,0.111111111111,-184.310169753
29,0.2,0.110263279197,0.512566870421,0.742680233629,-66.5397394095,0.107142857143,-184.310169753
30,0.2,0.110263279197,0.512566870421,0.742680233629,-76.5748055772,0.103448275862,-184.310169753
31,0.2,0.110263279197,0.512566870421,0.742680233629,-24.9600821803,0.1,-184.310169753
32,0.2,0.110263279197,0.512566870421,0.742680233629,-48.9373280169,0.0967741935484,-184.310169753
33,0.2,0.110263279197,0.512566870421,0.742680233629,-31.0246309911,0.09375,-184.310169753
34,0.2,0.110263279197,0.512566870421,0.742680233629,-55.6533480121,0.0909090909091,-184.310169753
35,0.2,0.110263279197,0.512566870421,0.742680233629,-58.2671837507,0.0882352941176,-184.310169753
36,0.2,0.110263279197,0.512566870421,0.742680233629,-43.1348050873,0.0857142857143,-184.310169753
37,0.2,0.110263279197,0.512566870421,0.742680233629,-55.2825959073,0.0833333333333,-184.310169753
38,0.2,0.110263279197,0.512566870421,0.742680233629,-86.7528691381,0.0810810810811,-184.310169753
39,0.2,0.110263279197,0.512566870421,0.742680233629,-60.6681094994,0.0789473684211,-184.310169753
40,0.2,0.110263279197,0.512566870421,0.742680233629,-57.7547926461,0.0769230769231,-184.310169753
41,0.2,0.110263279197,0.512566870421,0.742680233629,-52.3773736059,0.075,-184.310169753
42,0.2,0.110263279197,0.512566870421,0.742680233629,-64.8950800142,0.0731707317073,-184.310169753
